Node       Visible Definition                Description                   
S035B97    Y       Parm217/Parm2             G(tau- --> h- nu_tau)/G(tau- --> e- nubar_e nu_tau)
S035B96    Y       Parm237/G(total)          G(tau- --> h- omega 2pi0 nu_tau)/G(total)
S035B91    Y       Parm232/G(total)          G(tau- --> eta^'(958) pi- nu_tau)/G(total)
S035S15    N       Parm15/G(total)           G(tau- --> pi- pi- pi+ nu_tau)/G(total)
S035B93    Y       Parm234/G(total)          G(tau- --> f_1(1285) pi- nu_tau)/G(total)
S035B92    Y       Parm233/G(total)          G(tau- --> eta^'(958) pi- pi0 nu_tau)/G(total)
S035C54    Y       Parm285/G(total)          G(tau- --> K- pi+ pi- pi0 nu_tau  #text{(ex.#p{K0},#p{eta})})/G(total)
S035C55    Y       Parm288/G(total)          G(tau- --> e- K0S K0S)/G(total)
S035C56    Y       Parm289/G(total)          G(tau- --> mu- K0S K0S)/G(total)
S035C57    Y       Parm291/G(total)          G(tau- --> 4h- 3h+ pi0 nu_tau)/G(total)
S035B99    Y       Parm239/G(total)          G(tau- --> K- K0 pi0 pi0 nu_tau)/G(total)
S035B98    Y       Parm238/G(total)          G(tau- --> pi- Kbar0 pi0 pi0 nu_tau)/G(total)
S035C52    Y       Parm286/Parm260           G(tau- --> K- rho0 nu_tau --> K- pi+ pi- nu_tau)/G(tau- --> K- pi+ pi- nu_tau #text{(ex.#p{K0})})
S035C53    Y       Parm287/G(total)          G(tau- --> 2h- h+ omega nu_tau)/G(total)
S035C31    Y       Parm270/G(total)          G(tau- --> K- h+ pi- nu_tau #text{(ex.#p{K0})})/G(total)
S035C66    Y       Parm302/G(total)          G(tau- --> h- 2omega nu_tau)/G(total)
S035R5     Y       Parm1/Parm2               G(tau- --> mu- nubar_mu nu_tau)/G(tau- --> e- nubar_e nu_tau)
S035R05    Y       Parm341/G(total)          G(tau- --> K- pi+ pi- pi0 nu_tau #text{(ex.#p{K0},#p{omega},#p{eta})})/G(total)
S035R4     N       Parm1/G(total)*Parm2/G(total) G(tau- --> mu- nubar_mu nu_tau)/G(total)*G(tau- --> e- nubar_e nu_tau)/G(total)
S035R16    N       Parm1/G(total)*Parm16/G(total) G(tau- --> mu- nubar_mu nu_tau)/G(total)*G(tau- --> pi- pi0 nu_tau)/G(total)
S035R7     Y       Parm7/G(total)            G(tau- --> K- nu_tau)/G(total)
S035C50    Y       Parm284/Parm258           G(tau- --> pi- pi+ pi- nu_tau #text{(ex.#p{K0}), #tex{\hbox\bgroup} non-axial vector#tex{\egroup}})/G(tau- --> pi- pi+ pi- nu_tau #text{(ex.#p{K0})})
S035R40    Y       Parm5/G(total)            G(tau- --> K- K+ pi- nu_tau)/G(total)
S035R1     Y       Parm1/G(total)            G(tau- --> mu- nubar_mu nu_tau)/G(total)
S035R46    Y       Parm62/G(total)           G(tau- --> K- K0 nu_tau)/G(total)
S035R47    N       Parm63/G(total)           G(tau- --> K- K0 #text{#def{>=}1 neutrals } nu_tau)/G(total)
S035R44    Y       Parm19/G(total)           G(tau- --> h- #text{#def{>=}} 2pi0 nu_tau)/G(total)
S035R45    Y       Parm23/G(total)           G(tau- --> K^*(892)- #text{#def{>=}0 neutrals #def{>=}0#p{K0L}} nu_tau)/G(total)
S035B86    Y       Parm227/G(total)          G(tau- --> mu- eta eta)/G(total)
S035B87    Y       Parm228/G(total)          G(tau- --> e- pi0 eta)/G(total)
S035B84    Y       Parm225/G(total)          G(tau- --> mu- pi0 pi0)/G(total)
S035B85    Y       Parm226/G(total)          G(tau- --> e- eta eta)/G(total)
S035C61    Y       Parm295/G(total)          G(tau- --> K- omega nu_tau)/G(total)
S035C60    Y       Parm294/G(total)          G(tau- --> K- pi+ pi- pi0 nu_tau  #text{(ex.#p{K0},#p{omega})})/G(total)
S035B88    Y       Parm229/G(total)          G(tau- --> mu- pi0 eta)/G(total)
S035B89    Y       Parm230/G(total)          G(tau- --> eta pi- pi+ pi- nu_tau #text{(ex.#p{K0})})/G(total)
S035C65    Y       Parm298/G(total)          G(tau- --> Lambdabar pi-)/G(total)
S035C64    Y       Parm297/G(total)          G(tau- --> Lambda pi-)/G(total)
S035R48    N       Parm64/G(total)           G(tau- --> eta pi- #text{ #def{>=}0 neutrals } nu_tau)/G(total)
S035R49    N       Parm65/G(total)           G(tau- --> eta eta pi- #text{ #def{>=}0 neutrals } nu_tau)/G(total)
S035C89    Y       Parm322/G(total)          G(tau- --> 3pi- 2pi+ nu_tau #text{(ex.#p{K0}, #p{omega}, #p{f_1(1285)})})/G(total)
S035C69    Y       Parm235/G(total)          G(tau- --> f_1(1285) pi- nu_tau --> eta pi- pi+ pi- nu_tau)/G(total)
S035R35    N       Parm17/Parm194            G(tau- --> h- h- h+ nu_tau)/G(tau- --> h- h- h+ #text{#tex{\hbox\bgroup}#def{>=}0 neutrals #def{>=}0#p{K0L}} nu_tau #text{#tex{\egroup}})
S035C83    Y       Parm316/G(total)          G(tau- --> 2pi- pi+ omega nu_tau #text{(ex.#p{K0})})/G(total)
S035C82    Y       Parm315/G(total)          G(tau- --> f_1(1285) pi- nu_tau --> 3pi- 2pi+ nu_tau)/G(total)
S035C81    Y       Parm314/G(total)          G(tau- --> eta pi- pi+ pi- nu_tau #text{(ex.#p{K0},#p{f_1(1285)})})/G(total)
S035R34    Y       Parm28/G(total)           G(tau- --> K- h+ h- #text{#def{>=}0 neutrals } nu_tau)/G(total)
S035S43    N       Parm181/Parm191           G(tau- --> h- #text{#def{>=}0#p{K0L} } nu_tau)/G(tau- --> #text{#tex{\hbox\bgroup }particle#charge{-}#def{>=}0 neutrals #def{>=}0#p{K0L}} nu_tau#text{#tex{\egroup}})
S035C26    Y       Parm265/G(total)          G(tau- --> eta K^*(892)- nu_tau)/G(total)
S035C85    Y       Parm318/G(total)          G(tau- --> 2pi- pi+ 3pi0 nu_tau #text{(ex.#p{K0})})/G(total)
S035R10    Y       Parm22/G(total)           G(tau- --> K_2^*(1430)- nu_tau)/G(total)
S035C63    Y       Parm290/G(total)          G(tau- --> 4h- 3h+ nu_tau)/G(total)
S035C29    Y       Parm268/G(total)          G(tau- --> pbar 2pi0)/G(total)
S035C99    Y       Parm332/G(total)          G(tau- --> K- K0S K0S nu_tau)/G(total)
S035R8     Y       Parm16/G(total)           G(tau- --> pi- pi0 nu_tau)/G(total)
S035R39    Y       Parm4/G(total)            G(tau- --> 3h- 2h+ pi0 nu_tau #text{(ex.#p{K0})})/G(total)
S035C28    Y       Parm267/G(total)          G(tau- --> eta Kbar0 pi- nu_tau)/G(total)
S035C76    Y       Parm260/Parm258           G(tau- --> K- pi+ pi- nu_tau #text{(ex.#p{K0})})/G(tau- --> pi- pi+ pi- nu_tau #text{(ex.#p{K0})})
S035C68    Y       Parm304/Parm117           G(tau- --> K^*(892)- nu_tau --> pi- Kbar0 nu_tau)/G(tau- --> pi- Kbar0 nu_tau)
S035C74    Y       Parm311/G(total)          G(tau- --> eta K- K0 nu_tau)/G(total)
S035C75    Y       Parm312/G(total)          G(tau- --> eta eta K- nu_tau)/G(total)
S035C72    Y       Parm309/G(total)          G(tau- --> eta K- pi0 #text{ (non-#p{K^*(892)})} nu_tau)/G(total)
S035C73    Y       Parm310/G(total)          G(tau- --> eta Kbar0 pi- pi0 nu_tau)/G(total)
S035C70    Y       Parm307/G(total)          G(tau- --> e- f_0(980) --> e- pi+ pi-)/G(total)
S035C71    Y       Parm308/G(total)          G(tau- --> mu- f_0(980) --> mu- pi+ pi-)/G(total)
S035C78    Y       Parm12/Parm2              G(tau- --> pi- nu_tau)/G(tau- --> e- nubar_e nu_tau)
S035C79    Y       Parm7/Parm2               G(tau- --> K- nu_tau)/G(tau- --> e- nubar_e nu_tau)
S035R33    Y       Parm20/G(total)           G(tau- --> #text{#tex{\hbox\bgroup }}3h- 2h+ #text{#def{>=}0 neutrals } nu_tau#text{#tex{\egroup \allowbreak\hbox\bgroup} (ex. #d{K0S --> pi- pi+})#tex{\egroup\allowbreak\hbox\bgroup}(``5-prong'')#tex{\egroup}})/G(total)
S035R32    Y       Parm58/G(total)           G(tau- --> eta pi- pi0 nu_tau)/G(total)
S035R31    Y       Parm194/G(total)          G(tau- --> h- h- h+ #text{#tex{\hbox\bgroup}#def{>=}0 neutrals #def{>=}0#p{K0L}} nu_tau #text{#tex{\egroup}})/G(total)
S035R30    Y       Parm18/G(total)           G(tau- --> h- h- h+ #text{#def{>=}1 neutrals } nu_tau)/G(total)
S035R37    Y       Parm29/G(total)           G(tau- --> K0 h+ h- h- #text{#def{>=}0 neutrals } nu_tau)/G(total)
S035R36    Y       Parm61/G(total)           G(tau- --> #text{#tex{\hbox\bgroup }}4h- 3h+ #text{#def{>=}0 neutrals } nu_tau#text{#tex{\egroup \allowbreak\hbox\bgroup} (``7-prong'')#tex{\egroup}})/G(total)
S035B79    Y       Parm220/G(total)          G(tau- --> h- 4pi0 nu_tau #text{#tex{\hbox\bgroup }(ex.#p{K0})#tex{\egroup}})/G(total)
S035B78    Y       Parm222/G(total)          G(tau- --> h- h- h+ #text{#def{>=}1} pi0 nu_tau #text{#tex{\allowbreak\hbox\bgroup}(ex. #p{K0})#tex{\egroup}})/G(total)
S035B77    Y       Parm221/G(total)          G(tau- --> h- h- h+ 2pi0 nu_tau)/G(total)
S035B76    Y       Parm25/G(total)           G(tau- --> h- h- h+ pi0 nu_tau)/G(total)
S035B75    Y       Parm219/G(total)          G(tau- --> #text{#tex{\hbox\bgroup }particle#charge{-}#def{>=}0 neutrals #def{>=}0#p{K0}} nu_tau#text{#tex{\egroup}} #text{#tex{\allowbreak\hbox\bgroup}(``1-prong'')#tex{\egroup}})/G(total)
S035B74    Y       Parm218/G(total)          G(tau- --> h- 2pi0 nu_tau)/G(total)
S035B73    Y       Parm217/G(total)          G(tau- --> h- nu_tau)/G(total)
S035B72    Y       Parm216/G(total)          G(tau- --> h- h- h+ 2pi0 nu_tau  #text{(ex.#p{K0},#p{omega},#p{eta})})/G(total)
S035B71    Y       Parm215/G(total)          G(tau- --> h- h- h+ nu_tau #text{(ex.#p{K0},#p{omega})})/G(total)
S035B70    Y       Parm205/G(total)          G(tau- --> Kbar^*(892)0 pi- nu_tau)/G(total)
